"Year","Region","Cereals_Production","Barley_Production","Millet_Production","Oats_Production","Rye_Production","Spelt_Production","Triticale_Production","Wheat_Production","Sorghum_Production","Quinoa_Production","Corn_Production","Soybeans_Production","Peas_Production","Chickpeas_Production","Beans_Production","Fababeans_Production","Lentils_Production"
2009,"Saskatchewan",0,2123940,2583,754626,61492,0,10578,24824436,0,0,7406,8258,3585130,0,3174,0,3177921
2010,"Saskatchewan",0,1411416,984,299449,45650,892,14602,0,0,0,8068,9784,2982478,0,1958,0,4693808
2011,"Saskatchewan",10944,4014546,1608,2765529,138844,0,9141,64874524,0,0,9951,6296,5429636,0,9201,0,12023831
2012,"Saskatchewan",2566,6469716,2518,2356875,199416,0,13182,80773188,0,0,110683,210324,10411964,0,49949,0,11465742
2013,"Saskatchewan",0,7095020,16687,4709770,90828,2175,40744,0,0,0,258997,672449,9955146,0,40914,0,10452601
2009,"Manitoba",1,280873,2035,274236,39014,0,216,6495758,0,0,283595,523395,112814,0,147738,0,12573
2010,"Manitoba",0,295303,1025,483139,40803,0,231,0,0,0,297111,1052033,60945,0,231417,0,4926
2011,"Manitoba",12759986,0,0,305,0,0,0,10333,0,0,1105731,2775207,3470,0,87472,0,0
2012,"Manitoba",18415052,50640,925,390604,13733,0,10477,1219474,0,0,1483340,4791723,227643,0,62456,0,2595
2013,"Manitoba",0,991074,2714,657334,150292,26998,0,10184400,0,0,1848596,5610724,101629,0,79966,0,32
